"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes"
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1983.0,"","16.666667","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1985.0,"","18.181818","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1987.0,"","24.60733","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1989.0,"","26.842105","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1990.0,"","18.617021","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1992.0,"","24.774775","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1995.0,"","27.038627","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",1997.0,"","23.641304","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",2000.0,"","27.437642","Float","",""
"14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","ANNUAL","Global","G","Global","NA","Data nature not available","PERCENT","Percentage","1","World",2004.0,"","24.375","Float","",""
