"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Units_Code","Units_Desc","Footnotes_2010","Footnotes_2013","Footnotes_2015","Footnotes_2016","Footnotes_2017","Footnotes_2018","Nature_Code_2010","Nature_Code_2013","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Nature_Code_2018","Source_2010","Source_2013","Source_2015","Source_2016","Source_2017","Source_2018","TimeDetail_2010","TimeDetail_2013","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","TimeDetail_2018","Value_2010","Value_2013","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value"
"","","","729","Sudan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","84000000000.000",2018.0,"84000000000.000"
"CHE","8.223158","46.96617097","756","Switzerland","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","1403.400","","","",2015.0,"1403.400"
"AFG","66.02688198","33.83160199","4","Afghanistan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALB","20.06660928","41.13897007","8","Albania","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATA","21.47585697","-80.40897662","10","Antarctica","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZA","2.678164227","28.15940032","12","Algeria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASM","-170.7187269","-14.30587306","16","American Samoa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGO","17.57817062","-12.33724746","24","Angola","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATG","-61.7999755","17.07761471","28","Antigua and Barbuda","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZE","50.01064725","40.39229544","31","Azerbaijan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARG","-65.14563274","-35.19446255","32","Argentina","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUS","134.3499412","-25.57717202","36","Australia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHS","-78.05111663","24.69546597","44","Bahamas","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHR","50.5490754","26.04407747","48","Bahrain","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGD","89.17660788","22.86961622","50","Bangladesh","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARM","44.93839317","40.29499741","51","Armenia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRB","-59.5346489","13.13648273","52","Barbados","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEL","4.660976456","50.64104975","56","Belgium","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMU","-64.78155012","32.27881922","60","Bermuda","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTN","90.45098484","27.39598568","64","Bhutan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIH","17.78584332","44.16845548","70","Bosnia and Herzegovina","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWA","23.81380223","-22.18810073","72","Botswana","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVT","3.410732868","-54.43295905","74","Bouvet Island","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRA","-53.08432878","-10.77668561","76","Brazil","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLZ","-88.70199554","17.19965901","84","Belize","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IOT","72.38715553","-7.299281071","86","British Indian Ocean Territory","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLB","160.1584117","-9.622391719","90","Solomon Islands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGB","-64.63294223","18.42256578","92","British Virgin Islands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRN","114.6288563","4.49736984","96","Brunei Darussalam","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGR","25.23763153","42.75731323","100","Bulgaria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLR","28.04940161","53.54193075","112","Belarus","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHM","104.922836","12.71163737","116","Cambodia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMR","12.7419827","5.692387031","120","Cameroon","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAN","-101.6575058","57.72360191","124","Canada","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPV","-23.63544151","15.07791834","132","Cabo Verde","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYM","-81.16740559","19.32266656","136","Cayman Islands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAF","20.93559492","7.003720791","140","Central African Republic","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
