goal	target	indicator	series	seriesDescription	geoAreaCode	Reporting Type	Units	Age	Bounds	UnitMultiplier	Type of product	N	latest.year	latest.value	1990.Nature	1990.source	1990.time_detail	1990.value	1991.Nature	1991.source	1991.time_detail	1991.value	1992.Nature	1992.source	1992.time_detail	1992.value	1993.Nature	1993.source	1993.time_detail	1993.value	1994.Nature	1994.source	1994.time_detail	1994.value	1995.Nature	1995.source	1995.time_detail	1995.value	1996.Nature	1996.source	1996.time_detail	1996.value	1997.Nature	1997.source	1997.time_detail	1997.value	1998.Nature	1998.source	1998.time_detail	1998.value	1999.Nature	1999.source	1999.time_detail	1999.value	2000.Nature	2000.source	2000.time_detail	2000.value	2001.Nature	2001.source	2001.time_detail	2001.value	2002.Nature	2002.source	2002.time_detail	2002.value	2003.Nature	2003.source	2003.time_detail	2003.value	2004.Nature	2004.source	2004.time_detail	2004.value	2005.Nature	2005.source	2005.time_detail	2005.value	2006.Nature	2006.source	2006.time_detail	2006.value	2007.Nature	2007.source	2007.time_detail	2007.value	2008.Nature	2008.source	2008.time_detail	2008.value	2009.Nature	2009.source	2009.time_detail	2009.value	2010.Nature	2010.source	2010.time_detail	2010.value	2011.Nature	2011.source	2011.time_detail	2011.value	2012.Nature	2012.source	2012.time_detail	2012.value	2013.Nature	2013.source	2013.time_detail	2013.value	2014.Nature	2014.source	2014.time_detail	2014.value	2015.Nature	2015.source	2015.time_detail	2015.value	2016.Nature	2016.source	2016.time_detail	2016.value	2017.Nature	2017.source	2017.time_detail	2017.value	2018.Nature	2018.source	2018.time_detail	2018.value
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	202	G	PERCENT					16	2015	21.3																																									E	FAO, Statistics Division		28.2	E	FAO, Statistics Division		27.4	E	FAO, Statistics Division		26.8	E	FAO, Statistics Division		25.9	E	FAO, Statistics Division		24.9	E	FAO, Statistics Division		23.7	E	FAO, Statistics Division		22.9	E	FAO, Statistics Division		22.3	E	FAO, Statistics Division		21.8	E	FAO, Statistics Division		21.3	E	FAO, Statistics Division		20.7	E	FAO, Statistics Division		20.2	E	FAO, Statistics Division		20.1	E	FAO, Statistics Division		20.2	E	FAO, Statistics Division		20.4	E	FAO, Statistics Division		21.3												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	203	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	204	G	PERCENT					16	2015	10.3																																									E	FAO, Statistics Division		22.6	E	FAO, Statistics Division		20.5	E	FAO, Statistics Division		18.6	E	FAO, Statistics Division		17.3	E	FAO, Statistics Division		16.3	E	FAO, Statistics Division		15.4	E	FAO, Statistics Division		14.4	E	FAO, Statistics Division		13.4	E	FAO, Statistics Division		12.8	E	FAO, Statistics Division		12.4	E	FAO, Statistics Division		12.1	E	FAO, Statistics Division		11.7	E	FAO, Statistics Division		11.3	E	FAO, Statistics Division		10.8	E	FAO, Statistics Division		10	E	FAO, Statistics Division		10.3												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	208	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	21	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	212	G	PERCENT					16	2015	5.8																																									E	FAO, Statistics Division		4.7	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		5	E	FAO, Statistics Division		5.5	E	FAO, Statistics Division		5.7	E	FAO, Statistics Division		5.6	E	FAO, Statistics Division		5.1	E	FAO, Statistics Division		4.9	E	FAO, Statistics Division		4.9	E	FAO, Statistics Division		5.2	E	FAO, Statistics Division		5.6	E	FAO, Statistics Division		5.9	E	FAO, Statistics Division		6.1	E	FAO, Statistics Division		6	E	FAO, Statistics Division		5.8												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	214	G	PERCENT					16	2015	13.5																																									E	FAO, Statistics Division		28.1	E	FAO, Statistics Division		27.1	E	FAO, Statistics Division		27.5	E	FAO, Statistics Division		28.3	E	FAO, Statistics Division		27	E	FAO, Statistics Division		24.4	E	FAO, Statistics Division		21.9	E	FAO, Statistics Division		20.9	E	FAO, Statistics Division		20.2	E	FAO, Statistics Division		18.6	E	FAO, Statistics Division		16.5	E	FAO, Statistics Division		14.6	E	FAO, Statistics Division		13.8	E	FAO, Statistics Division		13.6	E	FAO, Statistics Division		13.7	E	FAO, Statistics Division		13.5												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	218	G	PERCENT					16	2015	12.1																																									E	FAO, Statistics Division		18.5	E	FAO, Statistics Division		18.8	E	FAO, Statistics Division		18.9	E	FAO, Statistics Division		18.6	E	FAO, Statistics Division		17.7	E	FAO, Statistics Division		17	E	FAO, Statistics Division		16.2	E	FAO, Statistics Division		15.6	E	FAO, Statistics Division		14.6	E	FAO, Statistics Division		13.5	E	FAO, Statistics Division		12.2	E	FAO, Statistics Division		11.7	E	FAO, Statistics Division		11.5	E	FAO, Statistics Division		11.7	E	FAO, Statistics Division		11.9	E	FAO, Statistics Division		12.1												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	222	G	PERCENT					16	2015	12.3																																									E	FAO, Statistics Division		11.2	E	FAO, Statistics Division		9.5	E	FAO, Statistics Division		9	E	FAO, Statistics Division		9.5	E	FAO, Statistics Division		10.2	E	FAO, Statistics Division		10.7	E	FAO, Statistics Division		11	E	FAO, Statistics Division		11.2	E	FAO, Statistics Division		11.6	E	FAO, Statistics Division		12.2	E	FAO, Statistics Division		12.7	E	FAO, Statistics Division		12.9	E	FAO, Statistics Division		12.8	E	FAO, Statistics Division		12.4	E	FAO, Statistics Division		12.1	E	FAO, Statistics Division		12.3												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	231	G	PERCENT					16	2015	28.8																																									E	FAO, Statistics Division		51.9	E	FAO, Statistics Division		49	E	FAO, Statistics Division		46.7	E	FAO, Statistics Division		44.2	E	FAO, Statistics Division		42	E	FAO, Statistics Division		39.7	E	FAO, Statistics Division		38.5	E	FAO, Statistics Division		37.2	E	FAO, Statistics Division		35.6	E	FAO, Statistics Division		33.7	E	FAO, Statistics Division		32.1	E	FAO, Statistics Division		31	E	FAO, Statistics Division		30.2	E	FAO, Statistics Division		29.4	E	FAO, Statistics Division		28.5	E	FAO, Statistics Division		28.8												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	233	G	PERCENT					16	2015																																										E	FAO, Statistics Division		5.6	E	FAO, Statistics Division		5.5	E	FAO, Statistics Division		5.5	E	FAO, Statistics Division		5.2	E	FAO, Statistics Division		4.8	E	FAO, Statistics Division		4.2	E	FAO, Statistics Division		3.7	E	FAO, Statistics Division		3.2	E	FAO, Statistics Division		2.8	E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division		2.7	E	FAO, Statistics Division		2.9	E	FAO, Statistics Division		2.9	E	FAO, Statistics Division		2.7	E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	24	G	PERCENT					16	2015	14																																									E	FAO, Statistics Division		50	E	FAO, Statistics Division		46.7	E	FAO, Statistics Division		42.7	E	FAO, Statistics Division		38.6	E	FAO, Statistics Division		35	E	FAO, Statistics Division		32.1	E	FAO, Statistics Division		29.3	E	FAO, Statistics Division		26.5	E	FAO, Statistics Division		23.7	E	FAO, Statistics Division		21.3	E	FAO, Statistics Division		19.4	E	FAO, Statistics Division		17.9	E	FAO, Statistics Division		16.7	E	FAO, Statistics Division		15.3	E	FAO, Statistics Division		14.4	E	FAO, Statistics Division		14												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	242	G	PERCENT					16	2015	4.6																																									E	FAO, Statistics Division		4.8	E	FAO, Statistics Division		4.7	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4.2	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.6												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	246	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	250	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	258	G	PERCENT					16	2015	4.9																																									E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4	E	FAO, Statistics Division		3.9	E	FAO, Statistics Division		3.9	E	FAO, Statistics Division		3.9	E	FAO, Statistics Division		4	E	FAO, Statistics Division		4.2	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.7	E	FAO, Statistics Division		4.8	E	FAO, Statistics Division		4.9												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	262	G	PERCENT					16	2015	12.8																																									E	FAO, Statistics Division		48.1	E	FAO, Statistics Division		45.6	E	FAO, Statistics Division		43	E	FAO, Statistics Division		40.1	E	FAO, Statistics Division		36.6	E	FAO, Statistics Division		32.5	E	FAO, Statistics Division		28.8	E	FAO, Statistics Division		25.8	E	FAO, Statistics Division		24.1	E	FAO, Statistics Division		23	E	FAO, Statistics Division		22.3	E	FAO, Statistics Division		21.2	E	FAO, Statistics Division		19.4	E	FAO, Statistics Division		17.2	E	FAO, Statistics Division		14.7	E	FAO, Statistics Division		12.8												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	266	G	PERCENT					16	2015	7																																									E	FAO, Statistics Division		9.4	E	FAO, Statistics Division		9.7	E	FAO, Statistics Division		10.2	E	FAO, Statistics Division		10.2	E	FAO, Statistics Division		10.1	E	FAO, Statistics Division		9.7	E	FAO, Statistics Division		9.8	E	FAO, Statistics Division		10	E	FAO, Statistics Division		10.2	E	FAO, Statistics Division		9.9	E	FAO, Statistics Division		9.4	E	FAO, Statistics Division		8.6	E	FAO, Statistics Division		7.9	E	FAO, Statistics Division		7.3	E	FAO, Statistics Division		7	E	FAO, Statistics Division		7												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	268	G	PERCENT					16	2015	7																																									E	FAO, Statistics Division		13.7	E	FAO, Statistics Division		13.8	E	FAO, Statistics Division		11.6	E	FAO, Statistics Division		9.4	E	FAO, Statistics Division		8.1	E	FAO, Statistics Division		7.4	E	FAO, Statistics Division		7.2	E	FAO, Statistics Division		7	E	FAO, Statistics Division		6.9	E	FAO, Statistics Division		7.2	E	FAO, Statistics Division		8	E	FAO, Statistics Division		8.4	E	FAO, Statistics Division		8.2	E	FAO, Statistics Division		7.5	E	FAO, Statistics Division		6.7	E	FAO, Statistics Division		7												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	270	G	PERCENT					16	2015	10.9																																									E	FAO, Statistics Division		13.1	E	FAO, Statistics Division		13	E	FAO, Statistics Division		13.9	E	FAO, Statistics Division		14.6	E	FAO, Statistics Division		15.1	E	FAO, Statistics Division		15.1	E	FAO, Statistics Division		14.5	E	FAO, Statistics Division		12.9	E	FAO, Statistics Division		11.3	E	FAO, Statistics Division		9.9	E	FAO, Statistics Division		9.2	E	FAO, Statistics Division		9	E	FAO, Statistics Division		9.3	E	FAO, Statistics Division		9.9	E	FAO, Statistics Division		10.5	E	FAO, Statistics Division		10.9												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	276	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	28	G	PERCENT					16	2015	26.7																																									E	FAO, Statistics Division		40	E	FAO, Statistics Division		42.1	E	FAO, Statistics Division		43.5	E	FAO, Statistics Division		41.9	E	FAO, Statistics Division		37.6	E	FAO, Statistics Division		31.5	E	FAO, Statistics Division		27.4	E	FAO, Statistics Division		25.4	E	FAO, Statistics Division		26.1	E	FAO, Statistics Division		27	E	FAO, Statistics Division		28.1	E	FAO, Statistics Division		27.8	E	FAO, Statistics Division		27.8	E	FAO, Statistics Division		27.1	E	FAO, Statistics Division		27.2	E	FAO, Statistics Division		26.7												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	288	G	PERCENT					16	2015	7.6																																									E	FAO, Statistics Division		15.9	E	FAO, Statistics Division		13.9	E	FAO, Statistics Division		12.3	E	FAO, Statistics Division		11.2	E	FAO, Statistics Division		10.2	E	FAO, Statistics Division		9.3	E	FAO, Statistics Division		8.4	E	FAO, Statistics Division		7.4	E	FAO, Statistics Division		6.4	E	FAO, Statistics Division		5.7	E	FAO, Statistics Division		5.4	E	FAO, Statistics Division		5.6	E	FAO, Statistics Division		6.1	E	FAO, Statistics Division		6.5	E	FAO, Statistics Division		6.8	E	FAO, Statistics Division		7.6												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	29	G	PERCENT					16	2015	18.3																																									E	FAO, Statistics Division		23.9	E	FAO, Statistics Division		23.7	E	FAO, Statistics Division		24	E	FAO, Statistics Division		24.4	E	FAO, Statistics Division		24.1	E	FAO, Statistics Division		23.4	E	FAO, Statistics Division		22.6	E	FAO, Statistics Division		22.1	E	FAO, Statistics Division		21.6	E	FAO, Statistics Division		20.9	E	FAO, Statistics Division		20	E	FAO, Statistics Division		19.6	E	FAO, Statistics Division		19.3	E	FAO, Statistics Division		19.2	E	FAO, Statistics Division		18.8	E	FAO, Statistics Division		18.3												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	296	G	PERCENT					16	2015	3.3																																									E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.3	E	FAO, Statistics Division		4.5	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.7	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.6	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.1	E	FAO, Statistics Division		3.7	E	FAO, Statistics Division		3.3	E	FAO, Statistics Division		3.1	E	FAO, Statistics Division		3.1	E	FAO, Statistics Division		3.2	E	FAO, Statistics Division		3.3												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	30	G	PERCENT					16	2015	9.2																																									E	FAO, Statistics Division		14.5	E	FAO, Statistics Division		14.5	E	FAO, Statistics Division		14.4	E	FAO, Statistics Division		14.4	E	FAO, Statistics Division		14.3	E	FAO, Statistics Division		14.1	E	FAO, Statistics Division		13.7	E	FAO, Statistics Division		13.2	E	FAO, Statistics Division		12.6	E	FAO, Statistics Division		12	E	FAO, Statistics Division		11.3	E	FAO, Statistics Division		10.8	E	FAO, Statistics Division		10.3	E	FAO, Statistics Division		9.9	E	FAO, Statistics Division		9.5	E	FAO, Statistics Division		9.2												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	300	G	PERCENT					16	2015																																										E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	308	G	PERCENT					16	2015	25.5																																									E	FAO, Statistics Division		31.1	E	FAO, Statistics Division		30.8	E	FAO, Statistics Division		30	E	FAO, Statistics Division		29.2	E	FAO, Statistics Division		28.4	E	FAO, Statistics Division		27.8	E	FAO, Statistics Division		27.2	E	FAO, Statistics Division		26.7	E	FAO, Statistics Division		26.1	E	FAO, Statistics Division		25.7	E	FAO, Statistics Division		25.5	E	FAO, Statistics Division		25.5	E	FAO, Statistics Division		25.4	E	FAO, Statistics Division		25.3	E	FAO, Statistics Division		25.4	E	FAO, Statistics Division		25.5												
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	31	G	PERCENT					16	2015																																										E	FAO, Statistics Division		23.2	E	FAO, Statistics Division		18.8	E	FAO, Statistics Division		15	E	FAO, Statistics Division		11.6	E	FAO, Statistics Division		8.4	E	FAO, Statistics Division		5.7	E	FAO, Statistics Division		3.8	E	FAO, Statistics Division		2.9	E	FAO, Statistics Division		2.6	E	FAO, Statistics Division		2.6	E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division			E	FAO, Statistics Division														
2	2.1	2.1.1	SN_ITK_DEFC	Prevalence of undernourishment (%)	32	G	PERCENT					16	2015	3.6																																									E	FAO, Statistics Division		3.5	E	FAO, Statistics Division		4.1	E	FAO, Statistics Division		4.9	E	FAO, Statistics Division		5.3	E	FAO, Statistics Division		5.2	E	FAO, Statistics Division		4.7	E	FAO, Statistics Division		4.4	E	FAO, Statistics Division		4.2	E	FAO, Statistics Division		4.1	E	FAO, Statistics Division		4.1	E	FAO, Statistics Division		4	E	FAO, Statistics Division		3.9	E	FAO, Statistics Division		3.7	E	FAO, Statistics Division		3.6	E	FAO, Statistics Division		3.4	E	FAO, Statistics Division		3.6												
